id,reserve0,reserve1,reserveUSD,token0,token1,symbol1,symbol2
0xaef16913b6c50ebcf627a394921f306985fc8604,266534.10790339,52.858754360144830745,380416.794,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,STORJ,WETH
0x11b1f53204d03e5529f09eb3091939e4fd8c9cf3,297882.079516808552660563,52.214471945333128941,374602.899,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MANA,WETH
0xf1db9d9ae0bdf6b7b87c5b5e4f3d2b2b9c2bdc3f,51.175496270410528298,177242.439615338511309007,373002.611,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf8173a39c56a554837c4c7f104153a005d284d11,WETH,EDU
0xe56c60b5f9f7b5fc70de0eb79c6ee7d00efa2625,49.332558365006722356,315346.424856094020544255,361952.488,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,WETH,ENJ
0xc6f348dd3b91a56d117ec0071c1e9b83c0996de4,46.012282760094980174,136348.659649799036493577,329941.972,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe41d2489571d322189246dafa5ebde1f4699f498,WETH,ZRX
0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244,37172.872407671057526346,163729.211603,327648.715,0x0391d2021f89dc339f60fff84546ea23e337750f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,BOND,USDC
0x7937619a9bd1234a303e4fe752b8d4f37d40e20c,45.064241295270183557,47322087.445002448202695199,324024.937,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfe3e6a25e6b192a42a44ecddcd13796471735acf,WETH,REEF
0x4bb0925fa50da9b4c8936869433b48e78ccc5c13,160688.40444454,160367.086314,323473.067,0x5b7533812759b45c2b44c19e320ba2cd2681b542,0xdac17f958d2ee523a2206206994597c13d831ec7,AGIX,USDT
0x70235a346a1ec1d7a40181ff88a3a2e5260e1d04,34246854910.18257208228606471,43.34469032797795431,318907.398,0x38f9bb135ea88033f4377b9ea0fb5cfb773fec2f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ALPHA,WETH
0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,42.839953594553160449,220937.871578655596181158,312244.015,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd533a949740bb3306d119cc777fa900ba034cd52,WETH,CRV
0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,1291.423283466594278615,42.907125597132158662,307954.711,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,AAVE,WETH
0x4dd26482738be6c06c31467a19dcda9ad781e8c4,44278.268152322722645559,39.095160544041670373,281757.007,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,API3,WETH
